word	phones	count
abarque	aBaRke	7
abarrota	aBarota	2
abarrotada	aBarotaDa	8
abarrotadas	aBarotaDas	3
abarrotado	aBarotaDo	25
abarrotar	aBarotaR	3
abarrotes	aBarotes	14
abastece	aBastese	14
abastecedor	aBasteseDoR	9
abastecedores	aBasteseDoRes	3
abastecen	aBastesen	6
abastecer	aBasteseR	26
abastecería	aBasteseRia	2
abastecernos	aBasteseRnos	6
abastecía	aBastesia	5
abastecido	aBastesiDo	6
abasteciendo	aBastesjendo	5
abastecimiento	aBastesimjento	41
abastecimientos	aBastesimjentos	2
abasteció	aBastesjo	5
abaten	aBaten	4
abatí	aBati	2
abatida	aBatiDa	32
abatidas	aBatiDas	2
abatido	aBatiDo	79
abatidos	aBatiDos	17
abatimiento	aBatimjento	8
abatió	aBatjo	4
abatir	aBatiR	6
abatirán	aBatiRan	2
abatiremos	aBatiRemos	2
abatirnos	aBatiRnos	2
abdica	abDika	2
abdicación	abDikasjon	6
abdicado	abDikaDo	6
abdicar	abDikaR	3
abdico	abDiko	2
abdomen	abDomen	159
abdómenes	abDomenes	4
abdominal	abDominal	104
abdominales	abDominales	173
abdominoplastia	abDominoplastja	2
abducción	abDuksjon	56
abducciones	abDuksjones	36
abducida	abDusiDa	31
abducidas	abDusiDas	25
abducido	abDusiDo	36
abducidos	abDusiDos	40
abdujeron	abDuxeRon	5
abdujo	abDuxo	7
abecedario	aBeseDaRjo	15
abedul	aBeDul	14
abedules	aBeDules	6
abeja	aBexa	311
abejas	aBexas	373
abejita	aBexita	21
abejitas	aBexitas	2
abejorro	aBexoro	25
abejorros	aBexoros	5
abelardo	aBelaRDo	22
aberración	aBerasjon	38
aberraciones	aBerasjones	12
aberrante	aBerante	21
aberrantes	aBerantes	6
abertura	aBeRtuRa	71
aberturas	aBeRtuRas	18
abeto	aBeto	24
abetos	aBetos	6
abierta	aBjeRta	1844
abiertamente	aBjeRtamente	153
abiertas	aBjeRtas	337
abierto	aBjeRto	1881
abiertos	aBjeRtos	638
abismal	aBismal	13
abismo	aBismo	169
abismos	aBismos	5
ablación	aBlasjon	8
ablanda	aBlanda	18
ablandaban	aBlandaBan	2
ablandado	aBlandaDo	21
ablandador	aBlandaDoR	4
ablandadores	aBlandaDoRes	2
ablandan	aBlandan	3
ablandando	aBlandando	37
ablandar	aBlandaR	18
ablandaría	aBlandaRia	4
ablandarla	aBlandaRla	7
ablandarlo	aBlandaRlo	5
ablandarlos	aBlandaRlos	3
ablandarme	aBlandaRme	3
ablandarse	aBlandaRse	3
ablandarte	aBlandaRte	2
ablandas	aBlandas	2
ablandase	aBlandase	2
ablandaste	aBlandaste	8
ablande	aBlande	11
ablandé	aBlande	2
ablanden	aBlanden	2
ablandes	aBlandes	11
ablandó	aBlando	12
abnegación	abneGasjon	9
abnegada	abneGaDa	5
abnegado	abneGaDo	8
abocado	aBokaDo	2
abocarnos	aBokaRnos	3
abochornada	aBoCoRnaDa	5
abochornado	aBoCoRnaDo	4
abofeteada	aBofeteaDa	3
abofeteado	aBofeteaDo	10
abofetéame	aBofeteame	3
abofetean	aBofetean	2
abofeteando	aBofeteando	2
abofetear	aBofeteaR	33
abofeteara	aBofeteaRa	2
abofeteará	aBofeteaRa	3
abofetearan	aBofeteaRan	2
abofetearé	aBofeteaRe	2
abofetearme	aBofeteaRme	14
abofetearte	aBofeteaRte	14
abofeteas	aBofeteas	4
abofeteaste	aBofeteaste	6
abofetee	aBofetee	11
abofeteó	aBofeteo	29
aboga	aBoGa	8
abogaba	aBoGaBa	2
abogacía	aBoGasia	78
abogada	aBoGaDa	688
abogadas	aBoGaDas	19
abogado	aBoGaDo	4988
abogados	aBoGaDos	1344
abogan	aBoGan	2
abogar	aBoGaR	9
abogo	aBoGo	4
abogó	aBoGo	3
abolicionista	aBolisjonista	4
abolicionistas	aBolisjonistas	2
abolida	aBoliDa	6
abolido	aBoliDo	5
abolieron	aBoljeRon	3
abolió	aBoljo	2
abolir	aBoliR	25
abollado	aBojaDo	15
abolladura	aBojaDuRa	40
abolladuras	aBojaDuRas	16
abollar	aBojaR	6
abollarla	aBojaRla	2
abolle	aBoje	4
abollé	aBoje	2
abolló	aBojo	10
abollón	aBojon	3
abomban	aBomban	2
abominable	aBominaBle	49
abominablemente	aBominaBlemente	3
abominables	aBominaBles	13
abominación	aBominasjon	65
abominaciones	aBominasjones	17
abonada	aBonaDa	3
abonado	aBonaDo	11
abonar	aBonaR	18
abonará	aBonaRa	2
abonarse	aBonaRse	2
abono	aBono	85
abonos	aBonos	7
aborda	aBoRDa	14
abordaban	aBoRDaBan	4
abordado	aBoRDaDo	16
abordados	aBoRDaDos	18
abordaje	aBoRDaxe	30
abordamos	aBoRDamos	12
abordan	aBoRDan	4
abordando	aBoRDando	75
abordándola	aBoRDandola	2
abordar	aBoRDaR	178
abordara	aBoRDaRa	2
abordará	aBoRDaRa	7
abordáramos	aBoRDaRamos	2
abordarán	aBoRDaRan	6
abordaré	aBoRDaRe	2
abordaría	aBoRDaRia	2
abordarían	aBoRDaRian	3
abordarlo	aBoRDaRlo	13
abordarlos	aBoRDaRlos	5
abordarme	aBoRDaRme	2
abordarnos	aBoRDaRnos	2
abordaron	aBoRDaRon	19
abordarte	aBoRDaRte	5
abordas	aBoRDas	4
abordaste	aBoRDaste	6
aborde	aBoRDe	3
abordé	aBoRDe	6
abordemos	aBoRDemos	7
aborden	aBoRDen	21
abordo	aBoRDo	120
abordó	aBoRDo	48
aborigen	aBoRixen	29
aborígenes	aBoRixenes	39
aborrece	aBorese	17
aborrecedores	aBoreseDoRes	2
aborrecen	aBoresen	9
aborrecer	aBoreseR	3
aborrecerme	aBoreseRme	3
aborreces	aBoreses	3
aborrecible	aBoresiBle	9
aborrecido	aBoresiDo	3
aborrecidos	aBoresiDos	2
aborrezco	aBoresko	25
aborta	aBoRta	41
abortada	aBoRtaDa	7
abortado	aBoRtaDo	32
abortados	aBoRtaDos	3
abórtalo	aBoRtalo	2
abortamos	aBoRtamos	10
abortando	aBoRtando	12
abortar	aBoRtaR	140
abortara	aBoRtaRa	9
abortarán	aBoRtaRan	2
abortaremos	aBoRtaRemos	5
abortaría	aBoRtaRia	2
abortarla	aBoRtaRla	2
abortarlo	aBoRtaRlo	6
aborte	aBoRte	21
aborté	aBoRte	10
abortemos	aBoRtemos	5
aborten	aBoRten	59
abórtenlo	aBoRtenlo	4
abortistas	aBoRtistas	3
abortiva	aBoRtiBa	4
abortivas	aBoRtiBas	2
aborto	aBoRto	324
abortó	aBoRto	8
abortos	aBoRtos	65
abotinados	aBotinaDos	2
abotonada	aBotonaDa	4
abotonado	aBotonaDo	2
abotonados	aBotonaDos	5
abotonando	aBotonando	2
abotonarla	aBotonaRla	3
abotonarlo	aBotonaRlo	2
abotonarme	aBotonaRme	2
abotónate	aBotonate	5
abotónese	aBotonese	3
abotono	aBotono	2
abovedado	aBoBeDaDo	2
abovedados	aBoBeDaDos	3
abra	aBRa	1099
abracadabra	aBRakaDaBRa	45
abrace	aBRase	33
abracé	aBRase	39
abrácelo	aBRaselo	2
abracémonos	aBRasemonos	2
abracemos	aBRasemos	3
abracen	aBRasen	25
abraces	aBRases	28
abracito	aBRasito	3
abraham	aBRaam	221
ábrala	aBRala	10
ábralo	aBRalo	7
ábrame	aBRame	3
abrámonos	aBRamonos	2
abramos	aBRamos	81
abrámoslo	aBRamoslo	10
abran	aBRan	1161
ábranla	aBRanla	11
ábranlas	aBRanlas	4
ábranlo	aBRanlo	9
ábranlos	aBRanlos	2
ábranme	aBRanme	3
ábranse	aBRanse	3
abras	aBRas	348
abrasador	aBRasaDoR	16
abrasadora	aBRasaDoRa	4
abrasados	aBRasaDos	3
abrasar	aBRasaR	3
abrasará	aBRasaRa	3
abrasión	aBRasjon	13
abrasiones	aBRasjones	22
abrasiva	aBRasiBa	3
abrasivas	aBRasiBas	2
abrasivo	aBRasiBo	7
abrasivos	aBRasiBos	6
abraza	aBRasa	125
abrazaba	aBRasaBa	20
abrazaban	aBRasaBan	6
abrazabas	aBRasaBas	7
abrazable	aBRasaBle	5
abrazada	aBRasaDa	11
abrazadas	aBRasaDas	4
abrazadera	aBRasaDeRa	20
abrazaderas	aBRasaDeRas	8
abrazado	aBRasaDo	26
abrazados	aBRasaDos	26
abrázala	aBRasala	21
abrázalo	aBRasalo	10
abrázame	aBRasame	168
abrazamos	aBRasamos	37
abrazan	aBRasan	44
abrazando	aBRasando	67
abrazándola	aBRasandola	5
abrazándolo	aBRasandolo	3
abrazándome	aBRasandome	5
abrazándonos	aBRasandonos	4
abrazándose	aBRasandose	8
abrazar	aBRasaR	151
abrazara	aBRasaRa	12
abrazaran	aBRasaRan	2
abrazarás	aBRasaRas	5
abrazaré	aBRasaRe	15
abrazaremos	aBRasaRemos	7
abrazaría	aBRasaRia	8
abrazarías	aBRasaRias	3
abrazarla	aBRasaRla	21
abrazarlas	aBRasaRlas	2
abrazarlo	aBRasaRlo	37
abrazarlos	aBRasaRlos	15
abrazarme	aBRasaRme	60
abrazarnos	aBRasaRnos	22
abrazaron	aBRasaRon	6
abrazarse	aBRasaRse	24
abrazarte	aBRasaRte	90
abrazas	aBRasas	37
abrazaste	aBRasaste	31
abrázate	aBRasate	3
abrazémosnos	aBRasemosnos	2
abrazo	aBRaso	840
abrazó	aBRaso	68
abrazos	aBRasos	192
abre	aBRe	17
abrecartas	aBRekaRtas	15
abrefácil	aBRefasil	2
ábrela	aBRela	78
ábrelas	aBRelas	4
abrelatas	aBRelatas	70
ábrele	aBRele	6
ábrelo	aBRelo	109
ábrelos	aBRelos	21
ábreme	aBReme	22
ábremelo	aBRemelo	3
abren	aBRen	240
ábrenos	aBRenos	2
abres	aBRes	304
ábrete	aBRete	25
abrevadero	aBReBaDeRo	12
abreviación	aBReBjasjon	12
abreviando	aBReBjando	4
abreviar	aBReBjaR	19
abreviatura	aBReBjatuRa	20
abreviaturas	aBReBjatuRas	2
abrí	aBRi	438
abría	aBRia	93
abríamos	aBRiamos	4
abrían	aBRian	15
abrías	aBRias	20
abrid	aBRid	24
abridor	aBRiDoR	20
abridores	aBRiDoRes	5
abriendo	aBRiendo	287
abriéndola	aBRiendola	2
abriéndole	aBRiendole	4
abriéndolo	aBRiendolo	4
abriéndome	aBRiendome	7
abriéndonos	aBRiendonos	5
abriéndose	aBRiendose	52
abriéndote	aBRiendote	3
abriera	aBRieRa	89
abrieran	aBRieRan	24
abrieras	aBRieRas	48
abrieron	aBRieRon	228
abriese	aBRiese	5
abriésemos	aBRiesemos	2
abriga	aBRiGa	10
abrigada	aBRiGaDa	40
abrigado	aBRiGaDo	30
abrigados	aBRiGaDos	6
abrigamos	aBRiGamos	4
abrigan	aBRiGan	2
abrigar	aBRiGaR	8
abrigarme	aBRiGaRme	2
abrigarse	aBRiGaRse	3
abrigarte	aBRiGaRte	6
abrigas	aBRiGas	2
abrígate	aBRiGate	19
abrigo	aBRiGo	1054
abrigos	aBRiGos	151
abrigue	aBRiGe	7
abríguense	aBRiGense	4
abril	aBRil	593
abrillantado	aBRijantaDo	2
abrillantador	aBRijantaDoR	3
abrillantan	aBRijantan	2
abrillantar	aBRijantaR	2
abrillantas	aBRijantas	2
abrimos	aBRimos	283
abrió	aBRio	793
abrir	aBRiR	2673
abrirá	aBRiRa	176
abrirán	aBRiRan	78
abrirás	aBRiRas	37
abriré	aBRiRe	240
abriremos	aBRiRemos	106
abriría	aBRiRia	37
abriríamos	aBRiRiamos	2
abrirían	aBRiRian	4
abrirla	aBRiRla	224
abrirlas	aBRiRlas	20
abrirle	aBRiRle	90
abrirles	aBRiRles	12
abrirlo	aBRiRlo	234
abrirlos	aBRiRlos	48
abrirme	aBRiRme	95
abrírmelos	aBRiRmelos	2
abrirnos	aBRiRnos	34
abrirse	aBRiRse	148
abrirte	aBRiRte	94
abriste	aBRiste	170
abro	aBRo	358
abrochaba	aBRoCaBa	3
abrochada	aBRoCaDa	3
abrochados	aBRoCaDos	10
abróchame	aBRoCame	8
abrochan	aBRoCan	3
abrochar	aBRoCaR	17
abrocharé	aBRoCaRe	4
abrocharlos	aBRoCaRlos	2
abrocharse	aBRoCaRse	8
abrocharte	aBRoCaRte	5
abrochas	aBRoCas	2
abrochaste	aBRoCaste	3
abróchate	aBRoCate	60
abroche	aBRoCe	4
abrochemos	aBRoCemos	3
abrochen	aBRoCen	16
abróchense	aBRoCense	37
abroches	aBRoCes	3
abróchese	aBRoCese	14
abruma	aBRuma	32
abrumaba	aBRumaBa	2
abrumada	aBRumaDa	69
abrumadas	aBRumaDas	4
abrumado	aBRumaDo	84
abrumador	aBRumaDoR	88
abrumadora	aBRumaDoRa	64
abrumadoras	aBRumaDoRas	16
abrumadores	aBRumaDoRes	7
abrumados	aBRumaDos	14
abruman	aBRuman	11
abrumante	aBRumante	4
abrumar	aBRumaR	7
abrumaron	aBRumaRon	5
abrumarte	aBRumaRte	7
abrumó	aBRumo	9
abrupta	aBRupta	27
abruptamente	aBRuptamente	37
abrupto	aBRupto	31
absceso	aBseso	44
abscesos	aBsesos	10
absolución	aBsolusjon	69
absolutamente	aBsolutamente	2409
absolutas	aBsolutas	10
absolutismo	aBsolutismo	2
absoluto	aBsoluto	1523
absolutos	aBsolutos	15
absolver	aBsolBeR	19
absolverla	aBsolBeRla	2
absolverlo	aBsolBeRlo	8
absolverme	aBsolBeRme	3
absolverte	aBsolBeRte	5
absolvieron	aBsolBjeRon	22
absolvió	aBsolBjo	10
absorba	aBsoRBa	20
absorban	aBsoRBan	6
absorbas	aBsoRBas	4
absorbe	aBsoRBe	75
absorben	aBsoRBen	30
absorbente	aBsoRBente	20
absorber	aBsoRBeR	79
absorberá	aBsoRBeRa	14
absorberán	aBsoRBeRan	2
absorberé	aBsoRBeRe	3
absorbería	aBsoRBeRia	4
absorberla	aBsoRBeRla	2
absorberlo	aBsoRBeRlo	6
absorberlos	aBsoRBeRlos	6
absorbes	aBsoRBes	5
absorbí	aBsoRBi	6
absorbida	aBsoRBiDa	22
absorbidas	aBsoRBiDas	6
absorbido	aBsoRBiDo	34
absorbidos	aBsoRBiDos	10
absorbiendo	aBsoRBjendo	33
absorbiéndolo	aBsoRBjendolo	2
absorbiera	aBsoRBjeRa	2
absorbieran	aBsoRBjeRan	2
absorbieron	aBsoRBjeRon	8
absorbió	aBsoRBjo	24
absorbiste	aBsoRBiste	3
absorbo	aBsoRBo	7
absorción	aBsoRsjon	24
absorta	aBsoRta	9
absorto	aBsoRto	23
absortos	aBsoRtos	6
abstemia	aBstemja	3
abstemio	aBstemjo	13
abstención	aBstensjon	6
abstendrá	aBstendRa	2
abstendrán	aBstendRan	2
abstendré	aBstendRe	3
abstenemos	aBstenemos	2
abstenerme	aBsteneRme	8
abstenernos	aBsteneRnos	2
abstenerse	aBsteneRse	13
abstenerte	aBsteneRte	2
abstenga	aBsteNga	5
absténgase	aBsteNgase	3
abstengo	aBsteNgo	2
abstente	aBstente	2
abstiene	aBstjene	8
abstienen	aBstjenen	5
abstinencia	aBstinensja	148
abstinente	aBstinente	3
abstracción	aBstRaksjon	9
abstracciones	aBstRaksjones	5
abstracta	aBstRakta	19
abstractas	aBstRaktas	12
abstracto	aBstRakto	63
abstractos	aBstRaktos	10
abstraerse	aBstRaeRse	2
abstraído	aBstRaiDo	10
abstraigo	aBstRajGo	2
abstuve	aBstuBe	4
abstuvo	aBstuBo	2
absuelta	aBswelta	12
absueltas	aBsweltas	2
absuelto	aBswelto	69
absueltos	aBsweltos	13
absuelva	aBswelBa	9
absuélvame	aBswelBame	3
absuelvan	aBswelBan	7
absuelve	aBswelBe	16
absuelven	aBswelBen	3
absuelves	aBswelBes	2
absuelvo	aBswelBo	11
absurda	aBsuRDa	130
absurdamente	aBsuRDamente	10
absurdas	aBsuRDas	52
absurdeces	aBsuRDeses	2
absurdo	aBsuRDo	646
absurdos	aBsuRDos	23
abuchea	aBuCea	3
abucheado	aBuCeaDo	3
abucheador	aBuCeaDoR	2
abucheando	aBuCeando	3
abuchearon	aBuCeaRon	2
abuchearte	aBuCeaRte	2
abucheaste	aBuCeaste	2
abucheen	aBuCeen	2
abucheo	aBuCeo	3
abucheos	aBuCeos	15
abuela	aBwela	4402
abuelas	aBwelas	70
abuelita	aBwelita	320
abuelito	aBwelito	103
abuelitos	aBwelitos	6
abuelo	aBwelo	3278
abuelos	aBwelos	353
abultada	aBultaDa	15
abultadas	aBultaDas	6
abultado	aBultaDo	17
abultados	aBultaDos	6
abunda	aBunda	23
abundan	aBundan	32
abundancia	aBundansja	112
abundando	aBundando	3
abundante	aBundante	88
abundantemente	aBundantemente	10
abundantes	aBundantes	23
aburguesada	aBuRGesaDa	2
aburra	aBura	16
abúrrame	aBurame	2
aburras	aBuras	18
aburre	aBure	137
aburren	aBuren	29
aburres	aBures	53
abúrrete	aBurete	2
aburrí	aBuri	37
aburría	aBuria	18
aburrían	aBurian	3
aburrías	aBurias	2
aburrida	aBuriDa	620
aburridas	aBuriDas	137
aburridísima	aBuriDisima	9
aburridísimas	aBuriDisimas	4
aburridísimo	aBuriDisimo	17
aburridísimos	aBuriDisimos	2
aburrido	aBuriDo	1427
aburridor	aBuriDoR	3
aburridos	aBuriDos	209
aburriendo	aBuriendo	80
aburriéndome	aBuriendome	2
aburriéndote	aBuriendote	3
aburrieron	aBurieRon	11
aburrimiento	aBurimjento	175
aburrimos	aBurimos	12
aburrió	aBurio	27
aburrir	aBuriR	23
aburrirá	aBuriRa	16
aburrirán	aBuriRan	4
aburrirás	aBuriRas	11
aburriré	aBuriRe	11
aburriremos	aBuriRemos	3
aburriría	aBuriRia	16
aburrirían	aBuriRian	2
aburrirías	aBuriRias	5
aburrirla	aBuriRla	3
aburrirle	aBuriRle	3
aburrirlo	aBuriRlo	5
aburrirme	aBuriRme	23
aburrirnos	aBuriRnos	11
aburrirse	aBuriRse	21
aburrirte	aBuriRte	37
aburrís	aBuris	2
aburriste	aBuriste	20
aburro	aBuro	99
abusa	aBusa	48
abusaba	aBusaBa	28
abusaban	aBusaBan	14
abusada	aBusaDa	24
abusadas	aBusaDas	6
abusado	aBusaDo	83
abusador	aBusaDoR	65
abusadora	aBusaDoRa	7
abusadores	aBusaDoRes	37
abusados	aBusaDos	20
abusamos	aBusamos	5
abusan	aBusan	30
abusando	aBusando	56
abusándome	aBusandome	12
abusar	aBusaR	117
abusara	aBusaRa	10
abusaran	aBusaRan	3
abusarán	aBusaRan	3
abusaremos	aBusaRemos	3
abusaría	aBusaRia	2
abusarían	aBusaRian	2
abusarme	aBusaRme	4
abusaron	aBusaRon	45
abusas	aBusas	16
abusaste	aBusaste	15
abuse	aBuse	19
abusé	aBuse	23
abusen	aBusen	18
abuses	aBuses	29
abusiva	aBusiBa	27
abusivo	aBusiBo	51
abusivos	aBusiBos	10
abuso	aBuso	520
abusó	aBuso	87
abusón	aBuson	9
abusos	aBusos	129
abyecto	aBJekto	14
acá	aka	8163
acaba	akaBa	6068
acababa	akaBaBa	396
acabábamos	akaBaBamos	46
acababan	akaBaBan	63
acababas	akaBaBas	34
acabad	akaBad	6
acabada	akaBaDa	115
acabadas	akaBaDas	10
acabado	akaBaDo	1468
acabados	akaBaDos	113
acábala	akaBala	22
acábalo	akaBalo	63
acábalos	akaBalos	13
acabamos	akaBamos	1506
acaban	akaBan	1428
acabando	akaBando	267
acabándose	akaBandose	4
acabar	akaBaR	1783
acabara	akaBaRa	127
acabará	akaBaRa	515
acabáramos	akaBaRamos	10
acabaran	akaBaRan	27
acabarán	akaBaRan	115
acabaras	akaBaRas	32
acabarás	akaBaRas	127
acabaré	akaBaRe	168
acabaréis	akaBaReis	3
acabaremos	akaBaRemos	111
acabaría	akaBaRia	142
acabaríamos	akaBaRiamos	20
acabarían	akaBaRian	24
acabarías	akaBaRias	31
acabarla	akaBaRla	15
acabarlo	akaBaRlo	31
acabarlos	akaBaRlos	10
acabarme	akaBaRme	11
acabarnos	akaBaRnos	5
acabaron	akaBaRon	511
acabarse	akaBaRse	58
acabarte	akaBaRte	16
acabas	akaBas	2020
acabás	akaBas	15
acabase	akaBase	12
acabaste	akaBaste	208
acábate	akaBate	7
acábatelas	akaBatelas	3
acábatelo	akaBatelo	2
acabe	akaBe	846
acabé	akaBe	316
acabeis	akaBejs	2
acabemos	akaBemos	256
acabémoslo	akaBemoslo	2
acabémoslos	akaBemoslos	2
acaben	akaBen	173
acábenlo	akaBenlo	10
acábenlos	akaBenlos	11
acabes	akaBes	140
acabo	akaBo	5792
acabó	akaBo	5015
acacia	akasja	6
academia	akaDemja	639
academias	akaDemjas	4
académica	akaDemika	96
académicamente	akaDemikamente	16
académicas	akaDemikas	9
académico	akaDemiko	157
acaece	akaese	3
acaecida	akaesiDa	2
acaecido	akaesiDo	3
acaecidos	akaesiDos	2
acalambra	akalambRa	2
acalambrada	akalambRaDa	3
acalambrando	akalambRando	5
acalambrarme	akalambRaRme	3
acalambraron	akalambRaRon	2
acalambró	akalambRo	4
acallada	akajaDa	2
acallado	akajaDo	3
acallar	akajaR	10
acallarla	akajaRla	8
acallarlo	akajaRlo	3
acalorada	akaloRaDa	14
acaloradas	akaloRaDas	2
acalorado	akaloRaDo	16
acalorados	akaloRaDos	2
acaloramos	akaloRamos	2
acalorando	akaloRando	2
acampa	akampa	14
acampaban	akampaBan	2
acampada	akampaDa	27
acampado	akampaDo	18
acampados	akampaDos	5
acampamos	akampamos	23
acampan	akampan	9
acampanado	akampanaDo	2
acampanados	akampanaDos	2
acampando	akampando	39
acampar	akampaR	243
acampáramos	akampaRamos	2
acamparán	akampaRan	2
acamparé	akampaRe	6
acamparemos	akampaRemos	32
acamparon	akampaRon	9
acampas	akampas	2
acampemos	akampemos	10
acampo	akampo	2
acampó	akampo	5
acantilado	akantilaDo	157
acantilados	akantilaDos	52
acapara	akapaRa	19
acaparado	akapaRaDo	7
acaparador	akapaRaDoR	6
acaparadora	akapaRaDoRa	4
acaparamiento	akapaRamjento	2
acaparan	akapaRan	7
acaparando	akapaRando	10
acaparar	akapaRaR	27
acapararás	akapaRaRas	2
acapararlo	akapaRaRlo	2
acaparas	akapaRas	6
acapares	akapaRes	12
acaparó	akapaRo	11
acapulco	akapulko	26
acaramelada	akaRamelaDa	8
acarameladas	akaRamelaDas	11
acaramelado	akaRamelaDo	6
acaricia	akaRisja	29
acariciaba	akaRisjaBa	20
acariciabas	akaRisjaBas	2
acariciada	akaRisjaDa	2
acariciado	akaRisjaDo	4
acarícialo	akaRisjalo	2
acaríciame	akaRisjame	8
acariciamos	akaRisjamos	6
acarician	akaRisjan	13
acariciando	akaRisjando	31
acariciándolo	akaRisjandolo	3
acariciándome	akaRisjandome	3
acariciándote	akaRisjandote	4
acariciar	akaRisjaR	61
acariciarlas	akaRisjaRlas	4
acariciarlo	akaRisjaRlo	20
acariciarlos	akaRisjaRlos	3
acariciarme	akaRisjaRme	10
acariciarse	akaRisjaRse	5
acariciarte	akaRisjaRte	13
acaricias	akaRisjas	24
acariciaste	akaRisjaste	7
acaricie	akaRisje	12
acaricié	akaRisje	13
acaricien	akaRisjen	7
acaricies	akaRisjes	2
acaricio	akaRisjo	29
acarició	akaRisjo	21
acarrea	akarea	17
acarreaba	akareaBa	3
acarreado	akareaDo	4
acarrean	akarean	4
acarreando	akareando	13
acarrear	akareaR	14
acarreará	akareaRa	2
acarrearan	akareaRan	2
acarrearán	akareaRan	2
acarrearé	akareaRe	2
acarrearía	akareaRia	3
acarreas	akareas	5
acarreo	akareo	4
acarreó	akareo	2
acartonada	akaRtonaDa	5
acartonado	akaRtonaDo	4
acartonados	akaRtonaDos	3
acaso	akaso	3015
acata	akata	3
acatado	akataDo	2
acatamos	akatamos	3
acatan	akatan	8
acatando	akatando	5
acatar	akataR	29
acatará	akataRa	4
acataré	akataRe	7
acatas	akatas	5
acaten	akaten	2
acates	akates	3
acato	akato	3
acató	akato	4
acaudalada	akawDalaDa	2
acaudalado	akawDalaDo	16
acaudalados	akawDalaDos	6
acceda	akseDa	44
accedan	akseDan	13
accedas	akseDas	16
accede	akseDe	55
accedemos	akseDemos	14
acceden	akseDen	12
acceder	akseDeR	492
accederá	akseDeRa	14
accederé	akseDeRe	9
accederemos	akseDeRemos	6
accedería	akseDeRia	10
accederlas	akseDeRlas	2
accederse	akseDeRse	3
accedes	akseDes	20
accedí	akseDi	59
accedían	akseDian	2
accedido	akseDiDo	102
accediendo	akseDjendo	42
accediera	akseDjeRa	15
accedieran	akseDjeRan	2
accedieras	akseDjeRas	4
accediese	akseDjese	2
accedió	akseDjo	159
accediste	akseDiste	32
accedo	akseDo	18
accesibilidad	aksesiBiliDad	4
accesible	aksesiBle	84
accesibles	aksesiBles	22
acceso	akseso	2231
accesorio	aksesoRjo	47
accesorios	aksesoRjos	163
accesos	aksesos	41
accidentada	aksiDentaDa	7
accidentadas	aksiDentaDas	2
accidentado	aksiDentaDo	17
accidental	aksiDental	167
accidentales	aksiDentales	19
